ZCTA5,STATE,COUNTY,GEOID
00601,72,001,72001
00601,72,141,72141
00602,72,003,72003
00603,72,005,72005
00606,72,093,72093
00606,72,121,72121
00606,72,153,72153
00610,72,003,72003
00610,72,011,72011
00612,72,013,72013
00612,72,017,72017
00616,72,013,72013
00617,72,017,72017
00617,72,054,72054
00622,72,023,72023
00623,72,023,72023
00624,72,111,72111
00624,72,113,72113
00627,72,027,72027
00631,72,001,72001
00631,72,081,72081
00637,72,121,72121
00637,72,153,72153
00638,72,039,72039
00638,72,091,72091
00641,72,001,72001
00641,72,141,72141
00646,72,051,72051
00646,72,143,72143
00647,72,055,72055
00647,72,079,72079
00650,72,013,72013
00650,72,017,72017
00650,72,039,72039
00650,72,054,72054
00650,72,141,72141
00652,72,013,72013
00653,72,055,72055
00656,72,059,72059
00659,72,065,72065
00660,72,067,72067
00662,72,071,72071
00664,72,073,72073
00664,72,141,72141
00667,72,079,72079
00667,72,125,72125
00669,72,081,72081
00669,72,083,72083
00669,72,131,72131
00670,72,011,72011
00670,72,083,72083
00674,72,091,72091
00674,72,145,72145
00676,72,003,72003
00676,72,099,72099
00677,72,003,72003
00677,72,117,72117
00678,72,071,72071
00678,72,115,72115
00678,72,131,72131
00680,72,011,72011
00680,72,097,72097
00680,72,125,72125
00682,72,097,72097
00683,72,125,72125
00685,72,071,72071
00685,72,131,72131
00687,72,101,72101
00688,72,013,72013
00690,72,005,72005
00692,72,143,72143
00693,72,143,72143
00693,72,145,72145
00694,72,145,72145
00698,72,059,72059
00698,72,153,72153
00703,72,007,72007
00703,72,045,72045
00704,72,057,72057
00704,72,123,72123
00705,72,009,72009
00705,72,043,72043
00707,72,095,72095
00714,72,015,72015
00715,72,075,72075
00715,72,113,72113
00716,72,113,72113
00717,72,113,72113
00718,72,103,72103
00719,72,047,72047
00719,72,105,72105
00719,72,135,72135
00720,72,043,72043
00720,72,107,72107
00723,72,109,72109
00725,72,007,72007
00725,72,025,72025
00725,72,035,72035
00725,72,061,72061
00725,72,127,72127
00725,72,129,72129
00727,72,025,72025
00728,72,113,72113
00729,72,029,72029
00729,72,087,72087
00730,72,113,72113
00731,72,001,72001
00731,72,113,72113
00735,72,037,72037
00735,72,103,72103
00736,72,035,72035
00736,72,041,72041
00738,72,053,72053
00739,72,041,72041
00740,72,053,72053
00741,72,069,72069
00745,72,029,72029
00745,72,119,72119
00751,72,123,72123
00754,72,129,72129
00757,72,133,72133
00765,72,147,72147
00766,72,107,72107
00766,72,149,72149
00767,72,069,72069
00767,72,151,72151
00769,72,043,72043
00771,72,085,72085
00772,72,087,72087
00773,72,089,72089
00775,72,049,72049
00777,72,029,72029
00777,72,063,72063
00777,72,077,72077
00777,72,085,72085
00778,72,063,72063
00778,72,129,72129
00780,72,075,72075
00780,72,113,72113
00782,72,045,72045
00783,72,047,72047
00784,72,057,72057
00786,72,009,72009
00791,72,069,72069
00794,72,019,72019
00794,72,043,72043
00794,72,045,72045
00795,72,075,72075
00901,72,127,72127
00906,72,127,72127
00907,72,127,72127
00909,72,127,72127
00911,72,127,72127
00912,72,127,72127
00913,72,127,72127
00915,72,127,72127
00917,72,127,72127
00918,72,127,72127
00920,72,127,72127
00921,72,127,72127
00923,72,127,72127
00924,72,031,72031
00924,72,127,72127
00925,72,127,72127
00926,72,061,72061
00926,72,127,72127
00926,72,139,72139
00927,72,127,72127
00934,72,021,72021
00934,72,061,72061
00936,72,127,72127
00949,72,033,72033
00949,72,137,72137
00950,72,051,72051
00951,72,137,72137
00952,72,137,72137
00953,72,047,72047
00953,72,135,72135
00953,72,137,72137
00956,72,021,72021
00956,72,135,72135
00957,72,021,72021
00957,72,135,72135
00959,72,021,72021
00959,72,061,72061
00959,72,135,72135
00959,72,137,72137
00960,72,021,72021
00961,72,021,72021
00961,72,033,72033
00962,72,033,72033
00965,72,033,72033
00965,72,061,72061
00966,72,021,72021
00966,72,061,72061
00966,72,127,72127
00968,72,061,72061
00969,72,021,72021
00969,72,061,72061
00969,72,127,72127
00971,72,021,72021
00971,72,061,72061
00971,72,127,72127
00976,72,031,72031
00976,72,127,72127
00976,72,139,72139
00979,72,031,72031
00982,72,031,72031
00983,72,031,72031
00985,72,031,72031
00987,72,031,72031
00987,72,139,72139
01001,25,013,25013
01002,25,011,25011
01002,25,015,25015
01003,25,015,25015
01005,25,027,25027
01007,25,015,25015
01008,25,013,25013
01009,25,013,25013
01010,25,013,25013
01011,25,013,25013
01011,25,015,25015
01012,25,015,25015
01013,25,013,25013
01020,25,013,25013
01022,25,013,25013
01026,25,015,25015
01027,25,015,25015
01028,25,013,25013
01029,25,003,25003
01030,25,013,25013
01031,25,027,25027
01032,25,015,25015
01033,25,015,25015
01034,25,013,25013
01035,25,015,25015
01036,25,013,25013
01037,25,027,25027
01038,25,015,25015
01039,25,011,25011
01039,25,015,25015
